_;_;_;_;x;.;.;.;.;x;.;.;.;.;.;.;.;.;.;.;x;.;.;.;x;.;x;.;.;.;.;.;.;.;.;x;x;_;_;_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.;x;.;.;.;.;.;x;_;_;_;_;_;x;x;x;x;_;_;_;_;_;
_;_;_;_;x;.;.;.;.;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;x;_;_;_;_;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;.;x;.;x;.;.;.;.;.;x;_;_;_;_;_;_;x;x;x;_;_;_;_;_;
_;_;_;_;x;.;.;.;.;x;x;.;.;.;.;f;.;.;.;.;.;.;.;.;x;x;x;x;x;x;x;x;x;x;x;x;_;_;_;_;_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;x;x;x;x;.;.;.;.;.;x;x;_;_;_;x;x;x;.;x;x;x;x;_;_;
_;_;_;_;x;x;x;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;.;.;.;.;x;_;_;_;_;_;_;_;_;_;_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;x;_;_;x;x;x;.;.;.;.;x;x;_;_;x;.;.;.;.;.;.;x;_;_;
_;_;_;_;_;_;x;x;x;x;x;.;.;.;.;.;.;.;.;.;.;.;x;.;x;x;x;.;.;.;x;x;x;x;x;x;x;_;_;_;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;x;x;x;_;x;x;.;.;.;.;.;x;x;_;x;.;.;.;.;.;.;x;x;_;
_;_;_;_;_;_;_;_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;x;.;.;.;x;x;_;_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;x;_;x;.;.;.;.;.;.;.;x;_;
_;x;x;x;x;x;_;_;x;x;.;.;.;.;.;.;.;.;.;.;.;x;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;x;_;_;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;x;x;x;x;x;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;_;x;.;.;.;.;.;.;x;x;_;
x;x;.;.;.;x;x;_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;_;x;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;x;_;x;x;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;x;_;
x;.;.;.;.;.;x;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;x;.;x;x;x;x;x;x;.;x;.;.;.;.;.;x;x;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;x;x;_;
x;.;.;.;.;.;.;x;x;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.;.;.;x;_;_;_;_;x;x;x;.;x;.;x;.;x;x;.;.;.;.;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;x;_;_;
x;.;.;.;.;.;.;x;x;x;x;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;x;.;.;x;_;_;_;_;_;_;x;x;x;x;x;x;x;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;_;_;
x;.;.;.;.;.;.;.;x;x;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;_;x;x;x;x;x;x;x;x;x;_;_;_;_;x;x;x;.;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;x;_;_;
x;.;.;.;.;.;.;x;x;x;x;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;x;x;x;_;_;_;x;.;x;.;.;.;x;x;x;x;x;x;.;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;_;_;
x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;.;.;m;.;.;.;.;.;.;x;x;_;x;x;x;.;x;_;_;_;x;x;x;.;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;x;_;_;
x;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;.;.;x;x;_;_;_;_;x;x;x;x;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;_;
x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;x;x;x;_;x;x;x;x;x;x;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;
x;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;x;.;.;.;.;x;x;x;_;x;x;x;.;.;x;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;_;x;x;.;.;.;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;
x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;.;x;x;x;x;_;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;x;x;.;.;.;.;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;_;x;x;.;.;.;.;.;.;.;.;x;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;
x;.;.;f;.;.;.;m;.;.;.;.;.;.;x;x;x;.;x;x;x;_;_;_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;x;.;x;x;x;_;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;x;_;x;.;.;.;.;.;.;.;x;.;x;_;_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;
x;x;.;.;.;.;.;.;.;.;.;.;.;.;x;.;x;.;.;.;x;_;_;x;x;.;.;.;.;.;.;.;.;.;.;.;.;x;x;_;_;x;x;x;_;_;_;_;_;x;x;x;.;.;.;.;.;.;.;.;.;x;x;x;x;.;.;.;.;.;x;x;x;x;x;_;_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;
x;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;x;_;_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;x;_;_;_;_;_;_;_;_;_;_;_;x;x;x;x;x;.;.;.;.;.;.;x;x;x;x;.;.;.;.;x;x;x;_;_;_;_;_;_;x;.;.;.;.;.;.;f;.;.;.;.;.;.;.;x;x;x;x;.;x;x;x;
x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;_;x;x;x;.;.;.;.;.;.;.;.;.;.;.;x;x;x;_;_;_;_;_;_;x;x;x;x;.;.;x;x;x;x;x;x;x;x;x;x;x;.;.;.;.;.;.;x;x;x;x;_;_;_;_;x;x;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;x;
_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;_;_;_;x;x;.;.;.;.;.;.;x;x;x;x;.;x;x;x;x;.;.;.;.;.;.;.;.;x;.;x;x;x;_;_;_;x;.;.;.;.;.;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;x;
_;x;x;.;.;.;r;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;x;_;_;x;x;.;.;.;.;.;.;.;.;x;x;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;x;_;_;_;x;x;x;.;.;.;.;.;.;.;x;x;x;x;x;.;.;.;.;.;.;x;
_;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;_;_;x;x;x;.;x;.;.;.;.;.;.;.;.;x;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;x;x;x;x;x;x;x;x;.;.;.;.;x;x;x;x;x;_;x;.;.;.;.;.;.;x;
_;x;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;.;.;m;.;.;x;x;x;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;.;.;.;.;.;x;x;.;.;.;x;x;x;x;x;.;.;x;.;x;.;x;x;x;x;x;.;.;.;.;x;
x;x;.;x;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;r;.;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;p;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;x;_;x;x;x;x;.;x;.;.;.;.;x;x;x;x;x;x;x;
x;.;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;_;_;_;x;x;x;.;.;.;.;.;.;x;_;_;_;_;
x;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;x;_;_;_;_;_;x;.;.;.;.;.;.;x;_;_;_;_;
x;.;.;.;x;x;.;.;.;.;x;_;x;.;.;.;.;.;.;.;.;.;x;x;x;.;.;.;.;.;.;.;.;.;.;.;.;.;x;x;x;.;x;_;x;x;.;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;x;x;x;x;.;.;.;.;.;.;.;.;x;.;.;.;.;.;.;x;x;_;_;_;_;_;x;x;.;.;.;.;.;x;_;_;_;_;
x;x;x;x;x;x;x;x;x;x;x;_;x;x;x;x;x;x;x;x;x;x;x;_;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;_;x;x;x;_;_;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;_;_;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;_;_;_;_;_;_;_;x;x;x;x;x;x;x;_;_;_;_;
